The image appears to be a page from an old UFO report document containing a table or grid with numerical data. There does not appear to be a photograph present in this particular page.

OCR output of the text in the document:

DEPARTMENT OF COMMERCE
INVESTIGATION SHEET
NATIONAL PRODUCTION AUTHORITY

1 2 3 4 5 6 7 8 9 10
0.155 0.165 0.175 0.185 0.195 0.205 0.215 0.225 0.235 0.245
0.155 0.165 0.175 0.185 0.195 0.205 0.215 0.225 0.235 0.245
0.155 0.165 0.175 0.185 0.195 0.205 0.215 0.225 0.235 0.245
0.155 0.165 0.175 0.185 0.195 0.205 0.215 0.225 0.235 0.245
0.155 0.165 0.175 0.185 0.195 0.205 0.215 0.225 0.235 0.245
0.155 0.165 0.175 0.185 0.195 0.205 0.215 0.225 0.235 0.245
0.155 0.165 0.175 0.185 0.195 0.205 0.215 0.225 0.235 0.245
0.155 0.165 0.175 0.185 0.195 0.205 0.215 0.225 0.235 0.245
0.155 0.165 0.175 0.185 0.195 0.205 0.215 0.225 0.235 0.245
0.155 0.165 0.175 0.185 0.195 0.205 0.215 0.225 0.235 0.245
